classifier,C,alpha,kernel,max_depth,n_estimators,n_neighbors,gamma,objective,elapsed_sec
AdaBoost,nan,nan,NA,nan,858,nan,nan,0.973404255319149,377.6846981048584
AdaBoost,nan,nan,NA,nan,294,nan,nan,0.9787234042553191,382.0448932647705
AdaBoost,nan,nan,NA,nan,965,nan,nan,0.9787234042553191,387.6967992782593
AdaBoost,nan,nan,NA,nan,1546,nan,nan,0.9787234042553191,394.4470510482788
AdaBoost,nan,nan,NA,nan,1736,nan,nan,0.973404255319149,401.5649399757385
AdaBoost,nan,nan,NA,nan,288,nan,nan,0.9787234042553191,405.88252425193787
AdaBoost,nan,nan,NA,nan,295,nan,nan,0.9787234042553191,410.2137761116028
AdaBoost,nan,nan,NA,nan,719,nan,nan,0.9787234042553191,415.44102025032043
AdaBoost,nan,nan,NA,nan,282,nan,nan,0.973404255319149,419.7452862262726
AdaBoost,nan,nan,NA,nan,888,nan,nan,0.973404255319149,425.22526812553406
AdaBoost,nan,nan,NA,nan,982,nan,nan,0.9787234042553191,430.9156451225281
AdaBoost,nan,nan,NA,nan,445,nan,nan,0.973404255319149,435.4962170124054
AdaBoost,nan,nan,NA,nan,436,nan,nan,0.973404255319149,440.1143002510071
AdaBoost,nan,nan,NA,nan,711,nan,nan,0.9787234042553191,445.20526099205017
AdaBoost,nan,nan,NA,nan,696,nan,nan,0.973404255319149,450.34099817276
AdaBoost,nan,nan,NA,nan,524,nan,nan,0.9787234042553191,455.14127111434937
AdaBoost,nan,nan,NA,nan,412,nan,nan,0.9787234042553191,459.6703522205353
AdaBoost,nan,nan,NA,nan,974,nan,nan,0.9840425531914894,465.29643201828003
AdaBoost,nan,nan,NA,nan,718,nan,nan,0.973404255319149,470.52521204948425
AdaBoost,nan,nan,NA,nan,733,nan,nan,0.973404255319149,475.71499013900757
AdaBoost,nan,nan,NA,nan,515,nan,nan,0.9787234042553191,480.5116572380066
AdaBoost,nan,nan,NA,nan,147,nan,nan,0.9627659574468085,484.584352016449
AdaBoost,nan,nan,NA,nan,280,nan,nan,0.973404255319149,488.90568494796753
AdaBoost,nan,nan,NA,nan,1575,nan,nan,0.9787234042553191,495.69875597953796
AdaBoost,nan,nan,NA,nan,419,nan,nan,0.9787234042553191,500.89898324012756
AdaBoost,nan,nan,NA,nan,1825,nan,nan,0.9787234042553191,508.0844361782074
AdaBoost,nan,nan,NA,nan,272,nan,nan,0.9680851063829787,512.3655672073364
AdaBoost,nan,nan,NA,nan,290,nan,nan,0.9787234042553191,516.6515271663666
RandomForest,nan,nan,NA,37,212,nan,nan,0.9574468085106383,521.3570730686188
AdaBoost,nan,nan,NA,nan,285,nan,nan,0.9787234042553191,525.6901359558105
AdaBoost,nan,nan,NA,nan,701,nan,nan,0.973404255319149,530.7657902240753
AdaBoost,nan,nan,NA,nan,908,nan,nan,0.9787234042553191,536.2627019882202
AdaBoost,nan,nan,NA,nan,725,nan,nan,0.9680851063829787,541.4503490924835
AdaBoost,nan,nan,NA,nan,1893,nan,nan,0.973404255319149,548.8358020782471
AdaBoost,nan,nan,NA,nan,1891,nan,nan,0.973404255319149,556.2197070121765
AdaBoost,nan,nan,NA,nan,1596,nan,nan,0.9787234042553191,563.0619370937347
AdaBoost,nan,nan,NA,nan,292,nan,nan,0.9787234042553191,567.4338181018829
AdaBoost,nan,nan,NA,nan,527,nan,nan,0.973404255319149,572.2060830593109
AdaBoost,nan,nan,NA,nan,899,nan,nan,0.973404255319149,577.6543312072754
AdaBoost,nan,nan,NA,nan,505,nan,nan,0.973404255319149,582.3317968845367
AdaBoost,nan,nan,NA,nan,423,nan,nan,0.9787234042553191,586.9560701847076
AdaBoost,nan,nan,NA,nan,417,nan,nan,0.9787234042553191,591.4501800537109
AdaBoost,nan,nan,NA,nan,522,nan,nan,0.9787234042553191,596.2256360054016
AdaBoost,nan,nan,NA,nan,146,nan,nan,0.9627659574468085,600.2956891059875
AdaBoost,nan,nan,NA,nan,968,nan,nan,0.9787234042553191,605.8967568874359
AdaBoost,nan,nan,NA,nan,1853,nan,nan,0.9787234042553191,613.795331954956
AdaBoost,nan,nan,NA,nan,1647,nan,nan,0.973404255319149,623.2063000202179
AdaBoost,nan,nan,NA,nan,972,nan,nan,0.9840425531914894,628.732241153717
AdaBoost,nan,nan,NA,nan,1947,nan,nan,0.9787234042553191,636.2138350009918
AdaBoost,nan,nan,NA,nan,853,nan,nan,0.973404255319149,641.6206629276276
AdaBoost,nan,nan,NA,nan,906,nan,nan,0.9787234042553191,647.0936710834503
AdaBoost,nan,nan,NA,nan,706,nan,nan,0.973404255319149,652.2066061496735
AdaBoost,nan,nan,NA,nan,418,nan,nan,0.9787234042553191,656.7402510643005
AdaBoost,nan,nan,NA,nan,204,nan,nan,0.9680851063829787,660.8741612434387
AdaBoost,nan,nan,NA,nan,434,nan,nan,0.9787234042553191,665.4615232944489
RandomForest,nan,nan,NA,6,216,nan,nan,0.9574468085106383,669.6751961708069
AdaBoost,nan,nan,NA,nan,1320,nan,nan,0.973404255319149,675.9932792186737
AdaBoost,nan,nan,NA,nan,1860,nan,nan,0.9787234042553191,683.4168000221252
AdaBoost,nan,nan,NA,nan,1407,nan,nan,0.9787234042553191,689.857241153717
RandomForest,nan,nan,NA,11,971,nan,nan,0.9574468085106383,694.9411640167236
AdaBoost,nan,nan,NA,nan,1177,nan,nan,0.9787234042553191,701.4717001914978
AdaBoost,nan,nan,NA,nan,1285,nan,nan,0.9787234042553191,709.629289150238
AdaBoost,nan,nan,NA,nan,703,nan,nan,0.973404255319149,714.7412240505219
AdaBoost,nan,nan,NA,nan,437,nan,nan,0.973404255319149,719.3122200965881
AdaBoost,nan,nan,NA,nan,1566,nan,nan,0.9787234042553191,726.0578811168671
AdaBoost,nan,nan,NA,nan,1299,nan,nan,0.9787234042553191,732.319906949997
AdaBoost,nan,nan,NA,nan,1872,nan,nan,0.9787234042553191,739.6342890262604
AdaBoost,nan,nan,NA,nan,715,nan,nan,0.9787234042553191,744.7420451641083
AdaBoost,nan,nan,NA,nan,1918,nan,nan,0.9787234042553191,752.2082540988922
AdaBoost,nan,nan,NA,nan,512,nan,nan,0.973404255319149,757.5083701610565
AdaBoost,nan,nan,NA,nan,431,nan,nan,0.9787234042553191,762.1822860240936
AdaBoost,nan,nan,NA,nan,1328,nan,nan,0.973404255319149,768.4819281101227
AdaBoost,nan,nan,NA,nan,126,nan,nan,0.9574468085106383,772.4634101390839
AdaBoost,nan,nan,NA,nan,41,nan,nan,0.9574468085106383,776.8798229694366
